집계일자,집계시,출발영업소코드,도착영업소코드,통행시간,요일
20200101,4,101,105,637,2
20200101,4,101,105,773,2
20200101,4,101,105,762,2
20200101,4,101,105,746,2
20200101,4,101,105,875,2
20200101,4,101,105,647,2
20200101,5,101,105,643,2
20200101,5,101,105,800,2
20200101,5,101,105,791,2
20200101,5,101,105,620,2
20200101,10,101,105,686,2
20200101,10,101,105,761,2
20200101,10,101,105,704,2
20200101,10,101,105,807,2
20200101,10,101,105,687,2
20200101,20,101,105,958,2
20200101,20,101,105,816,2
20200101,20,101,105,926,2
20200101,20,101,105,1002,2
20200101,23,101,105,732,2
20200101,23,101,105,789,2
20200101,23,101,105,762,2
20200101,23,101,105,761,2
20200101,23,101,105,868,2
20200101,0,101,105,652,2
20200101,0,101,105,811,2
20200101,0,101,105,680,2
20200101,0,101,105,616,2
20200101,1,101,105,658,2
20200101,1,101,105,810,2
20200101,1,101,105,683,2
20200101,1,101,105,726,2
20200101,1,101,105,972,2
20200101,1,101,105,655,2
20200101,12,101,105,767,2
20200101,12,101,105,888,2
20200101,12,101,105,728,2
20200101,12,101,105,817,2
20200101,12,101,105,791,2
20200101,12,101,105,749,2
20200101,14,101,105,1009,2
20200101,14,101,105,949,2
20200101,14,101,105,854,2
20200101,14,101,105,1033,2
20200101,14,101,105,994,2
20200101,21,101,105,882,2
20200101,21,101,105,790,2
20200101,21,101,105,781,2
20200101,21,101,105,885,2
20200101,21,101,105,932,2
20200101,18,101,105,1052,2
20200101,18,101,105,1133,2
20200101,18,101,105,909,2
20200101,18,101,105,1179,2
20200101,6,101,105,643,2
20200101,6,101,105,806,2
20200101,6,101,105,734,2
20200101,6,101,105,860,2
20200101,6,101,105,689,2
20200101,7,101,105,651,2
20200101,7,101,105,795,2
20200101,7,101,105,718,2
20200101,7,101,105,845,2
20200101,7,101,105,724,2
20200101,9,101,105,667,2
20200101,9,101,105,772,2
20200101,9,101,105,703,2
20200101,9,101,105,806,2
20200101,9,101,105,669,2
20200101,17,101,105,1076,2
20200101,17,101,105,981,2
20200101,17,101,105,1207,2
20200101,17,101,105,1156,2
20200101,17,101,105,935,2
20200101,8,101,105,661,2
20200101,8,101,105,784,2
